,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Index 0,4.0766930792101626,-11.592471573293233,5.758058372412456,1.9954876140549809,7.433481522846682,-2.6976334622167815,10.386505186522818,1.3929891281381004
Index 1,-8.091764090064517,-9.26325855802638,13.398780887126549,3.3645582749071172,-4.50405692012343,13.487790052649089,19.38782626100925,10.307054316383798
Index 2,-9.967061662417322,17.347021579778655,-7.131536318750672,8.946957795374587,-4.560651571946462,-1.3503510937311431,10.932788816996348,14.030532205981253
Index 3,4.47340703473749,-4.188943686590848,-9.06711305916206,-20.351786532141816,10.067044427083774,-11.084616131987213,-2.390301556280292,-10.064765726662749
Index 4,-10.909623642940867,3.2134944823561096,18.101499808981746,10.73605821324069,-6.578313689025475,4.997113686114317,-6.464901204023733,0.021843022090480363
Index 5,-2.4735635522409902,-19.782094356166464,11.556567311546734,4.545685809702979,13.854239244574508,-1.1384803642888348,-1.245364175999886,-24.905709650864996
Index 6,-0.7538123618497297,-3.029927894544345,-10.729666596346476,-12.453820809736289,-13.675470685397011,6.621270590194685,-10.122959818912676,-10.97448703726289
Index 7,-0.7341457533574193,-7.829733947332028,-6.770841631649713,-13.666861282296846,-0.8281986444395946,-0.6448180388531408,3.5405647163075598,5.350003071917762
Index 8,0.16550317238119214,-1.2894193717786613,-1.6267815792398108,-2.5335446916911355,12.150602117322912,2.657704911578941,9.188169379532468,-0.7508182110720135
Index 9,12.889947382326806,0.9339103873341112,-14.640773616439393,-0.6456094987098453,-14.490824060816399,12.363141963611955,1.6937722187335655,15.311912705575246
Index 10,-13.661006085319347,-18.583069904063674,-9.071786174248082,-11.236757982955991,2.218171396874233,20.016416395453017,15.412038433579374,11.810886885958789
Index 11,16.07450431273146,2.4650716984923,-9.76685046585197,-6.5585864147881185,-7.532230882666474,5.029872037011903,-3.6284681899726188,-11.873774103529316
Index 12,-5.808212755807606,-9.294274990280101,-0.9747538110512635,-7.153281157943551,2.798292120110957,21.09112071121828,-4.311542302189899,-16.270174562526666
Index 13,-8.644480613561017,2.0596397071137638,10.1343671939824,-4.369057286848472,-15.880210191584858,-3.8431859946923446,0.37549081763469633,0.4673599771126984
Index 14,-1.0945806069694215,-4.67078393301634,12.319482294638748,2.74621680918327,6.987371235393519,1.3259658727164139,-0.7384194178201888,3.283506296076546
Index 15,-5.681753569464425,8.686975701057024,3.1387659308592175,-2.165214041792893,2.6177730221980116,8.108799306068434,-5.14639066570608,10.147470458821335
Index 16,14.154946197756853,2.811089217509263,-24.955056511811936,-10.417922267528855,-17.464208790541072,-3.920063463496104,13.58739858197798,-21.349195306450774
Index 17,-3.1941369924602343,-4.791233380247858,-13.25393586613,11.754343716847286,-4.116405556215729,6.791300327165589,19.76439816320599,6.826938011967874
Index 18,-3.235258288792357,-7.330594908493494,-8.497637013535876,-13.348444891608127,6.6514229146989905,12.166239875616032,-11.067455482096623,-17.1033356342882
Index 19,5.013642676810751,-5.05155795782318,-6.12537936072835,-14.471378402545607,5.101123306975401,-8.613829687846424,-8.463999119806777,2.076159819049609
Index 20,5.993891408035829,-3.1016082664497526,-4.915671003677407,13.708720592502317,-14.58027148591347,-10.087349321352852,-26.999000288461517,6.557270899976894
Index 21,8.542759761817523,-11.709776489770096,-15.916397151473959,9.789357122223281,14.911541543753522,-3.2948615109630968,-18.474667949434686,1.1059440994476064
Index 22,-1.871093543721669,8.269589547734377,-3.3962990849847357,-4.720659257853267,-13.952470328102315,16.427699050633503,-3.45250031898354,-13.871153464992684
Index 23,-6.876974205287708,14.917400989168023,3.963508617669165,-3.326556722994845,-2.6952349566901534,1.0517448234858897,2.5308092600428327,11.914568173371432
Index 24,0.8411616971917589,7.687121629838689,4.967231386051775,-15.345328262384058,1.3344837648842365,-10.645923841253147,16.01738744068592,11.683240441889582
Index 25,4.454687457853402,-1.5822492629157159,-10.866367883563598,0.6165020883280071,2.1561864240844004,-1.0223328285464084,16.095655736095434,-2.0218884424228856
Index 26,12.215570201149088,-10.745196194035525,-21.87843146177745,-5.875586022760231,23.171934250328356,-3.376302087404758,6.2683128373571435,5.913612800416793
Index 27,-0.8434779999124477,12.96756423050428,3.671999725722113,10.744238074330013,-2.7739304884178155,-7.00311278679441,4.966198206236965,-16.442373123530068
Index 28,-29.23051444060671,5.548852928471125,0.4071295660080814,9.430886059070485,-16.436991412663673,19.464990099796797,-4.23189565580855,-10.203890963751142
Index 29,5.779637493087872,7.449504899735485,11.10914376688477,-13.702329098833454,-11.486755027595073,12.819939314277269,10.172556576859865,14.144111205768258
Index 30,1.9992126369237018,2.9558970837287935,18.932255619371983,11.5637735656397,9.275066100524326,-4.611932963526002,-17.017226823189688,3.1716081349211005
Index 31,-16.03032405658884,0.5988034146876909,-7.643822623353617,-7.276874265794659,-4.962244105773142,-17.894078346546976,-8.193009724231498,18.072125892733396
Index 32,9.023497678867331,-0.9828104599461454,2.9788766881974333,-18.821576091376034,-0.6168728771217833,5.544695351218735,-2.243181450435437,-4.7116670589082315
Index 33,-26.55222424629004,-1.5812870820904066,-5.827291291012076,10.228438526885409,-0.5417170368600642,8.217518108295902,13.481811410870012,15.251917859596736
Index 34,-10.024053785606773,-15.190199386600662,5.9958974232274755,12.186514404039702,11.207558919869633,4.066327769479785,-1.9543298022343039,-4.554300660093113
Index 35,1.3991360631269287,0.012220157899752377,-8.769735721451127,11.330691355845858,12.48473533423515,-14.344411511110401,4.754958924419941,0.2244345913051204
Index 36,11.486582664788273,-3.674782706292599,-1.9141581007293813,15.305447831269412,-3.839107580388629,20.703911900102888,-6.407427673875916,-4.958677600366415
Index 37,-6.642736596381793,-1.0605767800820525,-5.659518584590867,-2.6233162815709967,-0.20293562341154053,-6.8078351758369715,-13.325866268082716,13.786235492614454
Index 38,8.63109687027608,3.2192725744962174,10.234931598813228,10.621771382960725,-14.011062608376633,-8.7774168125605,-7.407019202100323,-3.8473589496993195
Index 39,11.079532680762789,-0.5012525555813078,-3.1161352572732355,11.353779057313142,2.803874453695946,-18.02571688211242,14.332068315203356,12.07707297592144
Index 40,11.814653135329872,-7.2384514322465545,20.75666208098745,-8.034794459580219,-18.4190914332636,11.254718494103075,1.9023104959339874,12.323034017761582
Index 41,9.976158358680845,-1.4381022837559077,4.6787706302379375,5.518365323128743,-4.237988378118087,-10.84834710531319,-1.4515762336485127,-14.31096285144317
Index 42,-0.09356725801793869,-3.7037120245206845,-6.326348077671129,1.8530290693122555,5.283092810703356,1.0800905549763176,17.4101016931908,-12.755267794336705
Index 43,-1.996774505875564,3.2280391376256095,4.275017721138742,24.631677320623794,-12.500250590420613,0.8508591613742799,8.288420811519163,-5.52457395458426
Index 44,-6.937493799989212,-10.970302092349765,6.021009739697307,5.142122668172311,-12.112794084282491,-11.748839920047104,-18.049579501592163,-4.854006285995115
Index 45,9.38931986723855,0.22032565123076622,8.134392730359355,-12.911134358560002,-10.27631762221915,3.806136304628704,0.06304879134237701,-5.198820060797729
Index 46,22.09311410769079,-2.210919070676457,22.491067167055732,3.077982429439553,-13.524545408212848,11.08110057675522,-9.168686688087071,10.03864912853173
